ID,Longitude,Latitude,Label,Description,Type,Floor
341,-79.24762862,43.11936513,B300,,R,3
342,-79.24761099,43.11937646,B301,,R,3
343,-79.24759229,43.11938907,B302,,R,3
344,-79.24757536,43.11940272,B303,,R,3
345,-79.24752068,43.11944211,B304,,R,3
346,-79.24745507,43.11944907,B305,,R,3
347,-79.24743426,43.11943207,B306,,R,3
348,-79.24740639,43.11941328,B307,,R,3
349,-79.24738437,43.11939746,B308,,R,3
350,-79.24736313,43.11938064,B310,,R,3
351,-79.24733938,43.11936409,B311,,R,3
352,-79.24731706,43.11934833,B313,,R,3
353,-79.24744232,43.11941979,B304A,,R,3
354,-79.24741389,43.11940035,B309,,R,3
355,-79.24734442,43.11934938,B312,,R,3
356,-79.24713781,43.11937302,C300,,R,3
357,-79.24707626,43.11937355,C301,,R,3
358,-79.24704206,43.11937486,C302,,R,3
359,-79.24701111,43.11937355,C303,,R,3
360,-79.24694919,43.11937434,C304,,R,3
361,-79.24661444,43.11952804,C308,,R,3
362,-79.24672094,43.11944952,C307,,R,3
363,-79.24664684,43.11932021,C306,,R,3
364,-79.24643555,43.11935805,C310,,R,3
365,-79.24669003,43.11924928,C316,,R,3
366,-79.24683329,43.11933572,C331,,R,3
367,-79.24680702,43.11931916,C330,,R,3
368,-79.24678902,43.1193034,C329,,R,3
369,-79.24676274,43.11928685,C328,,R,3
370,-79.2467415,43.11927003,C327,,R,3
371,-79.24671955,43.119254,C326,,R,3
372,-79.24669759,43.1192364,C325,,R,3
373,-79.24667275,43.11922195,C324,,R,3
374,-79.24663064,43.11918806,C322,,R,3
375,-79.24661696,43.11918123,C321,,R,3
376,-79.24660221,43.11918806,C320,,R,3
377,-79.24658205,43.11920645,C319,,R,3
378,-79.24655901,43.11922274,C318,,R,3
379,-79.24653741,43.11923824,C317,,R,3
380,-79.2465151,43.11925348,C315,,R,3
381,-79.24649386,43.11927187,C314,,R,3
382,-79.24647334,43.11928737,C313,,R,3
383,-79.24644815,43.11930419,C312,,R,3
384,-79.24642799,43.11932179,C312A,,R,3
385,-79.24629265,43.11937513,D300,,R,3
386,-79.24623074,43.11937618,D301,,R,3
387,-79.24619762,43.11937618,D302,,R,3
388,-79.24616235,43.11937513,D303,,R,3
389,-79.2461008,43.11937513,D304,,R,3
390,-79.24632178,43.11929772,D350O,,R,3
391,-79.24626205,43.11930261,D350A,,R,3
392,-79.2462365,43.11930287,D350B,,R,3
393,-79.24616991,43.11930209,D350C,,R,3
394,-79.24613211,43.11930314,D350D,,R,3
395,-79.24610656,43.11930287,D350E,,R,3
396,-79.24631425,43.11929263,D350L,,R,3
397,-79.24629445,43.11929158,D350J,,R,3
398,-79.24620878,43.11929289,D350I,,R,3
399,-79.24618431,43.11929368,D350H,,R,3
400,-79.24613499,43.11929394,D350G,,R,3
401,-79.24611052,43.1192942,D350F,,R,3
402,-79.24601117,43.11934517,D308,,R,3
403,-79.24592118,43.11941743,D309,,R,3
404,-79.24589383,43.11923824,D322,,R,3
405,-79.245797,43.11916651,D321,,R,3
406,-79.24569082,43.11921013,D320,,R,3
407,-79.24566562,43.11922904,D319,,R,3
408,-79.24554913,43.11929789,D318,,R,3
409,-79.24557959,43.11931759,D317,,R,3
410,-79.24561091,43.11934018,D316,,R,3
411,-79.24564438,43.11936225,D315,,R,3
412,-79.24572717,43.11942268,D314,,R,3
413,-79.24577721,43.11946183,D310,,R,3
414,-79.24594206,43.11944055,D328,,R,3
415,-79.24591974,43.11945868,D329,,R,3
416,-79.24589311,43.11947759,D330,,R,3
417,-79.24586683,43.11949625,D331,,R,3
418,-79.24584308,43.11951517,D332,,R,3
419,-79.24582292,43.11953724,D333,,R,3
420,-79.24559082,43.11954995,J310,,R,3
421,-79.2456005,43.11954356,J301,,R,3
422,-79.24576544,43.11961032,G310,,R,3
423,-79.24579615,43.11959132,Pond Inlet,,R,2
424,-79.24563321,43.11961738,J333,,R,3
425,-79.24560948,43.11963504,J330,,R,3
426,-79.24558368,43.11965067,J327,,R,3
427,-79.24562699,43.11960241,J332,,R,3
428,-79.24559681,43.11962528,J331,,R,3
429,-79.24558391,43.11963352,J328,,R,3
430,-79.24557677,43.11972231,J324,,R,3
431,-79.24552194,43.11969254,J323,,R,3
432,-79.24550927,43.11968414,J322,,R,3
433,-79.24548094,43.11966329,J321,,R,3
434,-79.24543763,43.11963016,J319,,R,3
435,-79.24542565,43.11962209,J318,,R,3
436,-79.24546366,43.11963689,J320,,R,3
437,-79.2454321,43.11959401,J315,,R,3
438,-79.24541367,43.11958762,J314,,R,3
439,-79.24542496,43.11956559,J313,,R,3
440,-79.24543723,43.11955659,J312,,R,3
441,-79.24547884,43.11952451,J311,,R,3
442,-79.24550775,43.11950443,J307,,R,3
443,-79.24552021,43.11949671,J306,,R,3
444,-79.24557357,43.11946497,J305,,R,3
445,-79.24741151,43.11962268,E301,,R,3
446,-79.24740049,43.11963126,E302,,R,3
447,-79.24735384,43.11966692,E303,,R,3
448,-79.24721501,43.11977067,E304,,R,3
449,-79.24717391,43.11979972,E305,,R,3
450,-79.24666617,43.11964822,,,T,3
451,-79.24667862,43.11965131,F303,,R,3
452,-79.24659208,43.11970982,F312,,R,3
453,-79.24665465,43.11962969,F301,,R,3
454,-79.24663937,43.11961905,F300,,R,3
455,-79.24657371,43.11962268,F313A,,R,3
456,-79.24650135,43.11967657,F314,,R,3
457,-79.24640218,43.11974842,F316,,R,3
458,-79.24640218,43.11974842,F317,,R,3
459,-79.24619274,43.11986235,G300,,R,3
